Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1852.0,OUT049
FDW14,1576.0,OUT017
NCN55,1868.0,OUT010
FDQ58,2584.0,OUT017
FDY38,5176.0,OUT027
FDH56,1920.0,OUT046
FDL48,604.0,OUT018
FDC48,2768.0,OUT027
FDN33,1512.0,OUT045
FDA36,3080.0,OUT017
FDT44,2008.0,OUT017
FDQ56,1312.0,OUT045
NCC54,1860.0,OUT019
FDU11,2052.0,OUT049
DRL59,900.0,OUT013
FDM24,2556.0,OUT049
FDI57,3092.0,OUT045
DRC12,2764.0,OUT018
NCM42,3184.0,OUT027
FDA46,1132.0,OUT010
FDA31,2796.0,OUT013
NCJ31,3900.0,OUT035
FDG52,800.0,OUT046
NCL19,356.0,OUT019
FDS10,3028.0,OUT035
FDX22,1444.0,OUT010
NCF19,932.0,OUT035
NCE06,2536.0,OUT046
DRC27,3856.0,OUT046
FDE21,2028.0,OUT035
NCR42,-1372.0,OUT019
FDX51,2860.0,OUT018
NCR06,420.0,OUT018
FDU31,4936.0,OUT027
FDU59,2712.0,OUT017
FDR03,4744.0,OUT027
FDS49,2744.0,OUT027
FDD48,-84.0,OUT010
NCF18,3132.0,OUT017
NCD43,3088.0,OUT027
NCD54,1996.0,OUT018
FDY19,-44.0,OUT010
NCY54,2832.0,OUT017
NCL19,2012.0,OUT018
FDP23,1516.0,OUT010
FDC26,1820.0,OUT013
FDR14,-1028.0,OUT010
NCS41,3036.0,OUT035
FDF41,4060.0,OUT035
FDU34,2000.0,OUT046
DRH11,928.0,OUT046
FDM03,1724.0,OUT013
FDS31,3032.0,OUT017
FDJ20,2112.0,OUT017
FDV44,4488.0,OUT027
FDG02,3100.0,OUT049
FDA09,2908.0,OUT013
FDT04,668.0,OUT013
FDL58,2284.0,OUT019
FDE52,1448.0,OUT045
FDW12,2508.0,OUT035
FDL51,3564.0,OUT017
NCY42,3680.0,OUT027
FDR07,1676.0,OUT017
FDN40,2360.0,OUT045
FDB35,2952.0,OUT027
FDA22,2744.0,OUT017
NCL06,4112.0,OUT046
FDI35,2908.0,OUT013
NCW42,3424.0,OUT045
NCX06,2948.0,OUT049
FDC37,3192.0,OUT027
FDZ14,1724.0,OUT018
DRG49,3964.0,OUT049
NCG06,3964.0,OUT045
DRC36,2736.0,OUT045
FDV21,60.0,OUT019
FDB53,2352.0,OUT046
DRP47,2052.0,OUT019
FDA14,2348.0,OUT013
DRC24,2588.0,OUT035
FDW21,1396.0,OUT018
NCH29,1544.0,OUT046
FDU58,3068.0,OUT013
FDY27,2936.0,OUT017
FDV56,1956.0,OUT035
FDT59,3648.0,OUT046
FDB23,3616.0,OUT046
FDR49,700.0,OUT045
FDB03,1916.0,OUT010
FDN39,2624.0,OUT045
FDX02,4976.0,OUT027
FDQ16,3184.0,OUT027
FDU35,1316.0,OUT018
NCT29,1956.0,OUT013
FDZ27,808.0,OUT046
FDN57,2360.0,OUT017
FDA03,2092.0,OUT018
FDZ36,2924.0,OUT045
NCU05,1316.0,OUT013
FDT39,2180.0,OUT018
FDK60,1720.0,OUT017
FDZ25,2856.0,OUT017
FDG12,2008.0,OUT046
DRB01,1108.0,OUT019
NCC43,5368.0,OUT027
FDX13,2028.0,OUT019
FDM22,1032.0,OUT049
FDJ03,2304.0,OUT027
FDU14,3668.0,OUT018
FDB33,620.0,OUT010
FDP27,3008.0,OUT046
FDO38,-676.0,OUT010
FDE28,5144.0,OUT027
FDO27,1716.0,OUT035
DRL23,3168.0,OUT027
FDS28,960.0,OUT046
FDX24,1532.0,OUT013
FDZ02,1756.0,OUT035
FDL46,1816.0,OUT045
FDS60,4296.0,OUT027
NCO06,656.0,OUT017
FDO16,1532.0,OUT035
FDC60,1548.0,OUT049
FDA48,3196.0,OUT018
FDZ36,4440.0,OUT027
FDK27,1880.0,OUT045
FDW23,372.0,OUT018
FDM14,1500.0,OUT018
FDM14,1772.0,OUT013
FDW60,2596.0,OUT018
FDE21,1900.0,OUT013
NCM42,1892.0,OUT035
FDY59,-404.0,OUT010
DRI49,1396.0,OUT049
FDT28,508.0,OUT019
FDQ22,404.0,OUT018
FDR60,1340.0,OUT049
FDC50,-388.0,OUT019
FDV24,2428.0,OUT013
DRF48,1060.0,OUT010
FDQ47,648.0,OUT046
DRN36,1668.0,OUT049
NCY06,2188.0,OUT035
FDE52,1652.0,OUT035
NCB54,1944.0,OUT045
NCF31,2560.0,OUT035
FDJ08,4440.0,OUT027
NCC07,1808.0,OUT017
NCD19,2320.0,OUT027
FDL46,2012.0,OUT049
FDM20,3824.0,OUT045
NCI06,916.0,OUT010
DRM11,4232.0,OUT035
NCH07,2212.0,OUT018
FDS23,2076.0,OUT013
FDO49,588.0,OUT018
FDS35,1164.0,OUT049
DRK39,1272.0,OUT045
DRI39,1052.0,OUT049
FDV04,2656.0,OUT017
NCN14,3024.0,OUT035
FDH08,3676.0,OUT013
FDS20,2904.0,OUT046
FDV40,1340.0,OUT049
FDZ48,-148.0,OUT010
FDS24,2912.0,OUT027
FDK44,2860.0,OUT049
FDS48,2344.0,OUT045
FDK26,1084.0,OUT010
FDD23,2972.0,OUT045
NCH54,2656.0,OUT017
NCP14,-252.0,OUT010
FDM60,-1212.0,OUT010
FDV24,2512.0,OUT017
FDH08,3340.0,OUT018
FDS12,3464.0,OUT027
FDR39,4312.0,OUT027
FDP12,2120.0,OUT027
DRF60,5168.0,OUT027
FDC09,1860.0,OUT035
FDF50,2852.0,OUT018
FDG28,4048.0,OUT035
NCE19,1000.0,OUT017
NCM53,-204.0,OUT010
NCN18,1852.0,OUT049
FDF32,3308.0,OUT035
FDF11,3852.0,OUT013
DRI59,3656.0,OUT049
NCG54,2820.0,OUT035
FDM44,1640.0,OUT046
FDT57,3460.0,OUT018
FDV24,2400.0,OUT046
FDI50,1740.0,OUT019
FDS09,1044.0,OUT035
NCC31,3888.0,OUT027
FDQ07,1596.0,OUT019
FDC22,3184.0,OUT017
FDZ56,2696.0,OUT046
FDZ40,-1012.0,OUT019
FDS46,3392.0,OUT027
DRD24,2180.0,OUT045
FDV45,3116.0,OUT017
FDL26,2416.0,OUT045
FDA56,1700.0,OUT018
FDN27,1904.0,OUT046
FDM20,3972.0,OUT049
FDO16,1464.0,OUT017
FDL03,3308.0,OUT035
FDE58,1880.0,OUT046
FDI02,3288.0,OUT027
NCC55,-1276.0,OUT019
FDR03,3036.0,OUT018
FDB14,1648.0,OUT017
FDR45,3836.0,OUT013
NCN07,2176.0,OUT017
FDM51,-196.0,OUT019
FDT52,5352.0,OUT027
FDL26,2456.0,OUT046
NCZ42,3752.0,OUT046
DRI47,420.0,OUT019
FDW40,2316.0,OUT013
FDN34,2736.0,OUT046
FDS01,2988.0,OUT035
NCG55,1784.0,OUT045
FDC11,1560.0,OUT035
FDX35,3332.0,OUT018
NCB06,2528.0,OUT046
FDR09,2188.0,OUT019
FDC53,1684.0,OUT017
FDY45,4060.0,OUT013
FDA22,740.0,OUT010
FDE02,1680.0,OUT035
FDW21,1612.0,OUT045
FDV34,1248.0,OUT046
FDS59,1904.0,OUT049
NCW17,2144.0,OUT017
NCK54,1856.0,OUT046
FDG17,1996.0,OUT019
FDG35,2920.0,OUT017
FDD08,-1276.0,OUT010
NCO07,3436.0,OUT017
FDJ10,364.0,OUT010
FDW36,1788.0,OUT017
FDW21,-244.0,OUT010
FDY19,2012.0,OUT017
DRE03,820.0,OUT013
NCC55,728.0,OUT049
FDH52,-828.0,OUT010
FDO09,4320.0,OUT017
FDU43,3768.0,OUT045
FDX09,852.0,OUT010
FDH40,-516.0,OUT019
FDW58,1808.0,OUT017
FDC47,3696.0,OUT017
NCR41,1664.0,OUT035
DRG49,4004.0,OUT035
FDC52,3920.0,OUT027
FDY13,1216.0,OUT046
FDY35,828.0,OUT013
FDI35,3000.0,OUT017
NCU18,2340.0,OUT049
FDY33,2284.0,OUT018
FDC15,3936.0,OUT027
FDU01,3116.0,OUT049
NCU42,2672.0,OUT046
NCV29,2524.0,OUT018
NCY30,3000.0,OUT017
FDQ46,1892.0,OUT049
FDG58,3928.0,OUT027
FDK33,3496.0,OUT017
NCD07,1768.0,OUT045
NCX29,3712.0,OUT027
NCT42,2372.0,OUT013
DRN59,916.0,OUT035
FDI44,1436.0,OUT035
FDA45,2920.0,OUT049
FDP31,1048.0,OUT045
FDY01,1872.0,OUT046
FDT09,1900.0,OUT018
DRH03,2976.0,OUT027
FDA36,2692.0,OUT018
NCF31,2532.0,OUT017
FDG14,2556.0,OUT049
FDG28,5368.0,OUT027
FDU14,4056.0,OUT049
FDY47,236.0,OUT019
FDI56,1556.0,OUT049
DRD01,996.0,OUT013
FDM22,952.0,OUT046
FDH33,732.0,OUT013
DRZ24,1908.0,OUT013
NCQ38,1680.0,OUT046
FDO16,2808.0,OUT027
FDU07,3824.0,OUT027
NCB07,3092.0,OUT013
FDU48,2056.0,OUT045
NCM43,2548.0,OUT045
FDR31,420.0,OUT010
DRK49,412.0,OUT018
NCI30,1916.0,OUT010
DRD60,2984.0,OUT017
NCG19,3680.0,OUT046
FDH12,1836.0,OUT035
FDM32,1644.0,OUT035
FDM27,2668.0,OUT035
NCU53,4056.0,OUT027
NCQ18,1560.0,OUT046
FDS10,2876.0,OUT013
FDB33,3960.0,OUT027
FDI12,1452.0,OUT013
NCW42,3508.0,OUT013
NCC06,1764.0,OUT018
FDW02,2168.0,OUT017
NCD43,1776.0,OUT017
FDM57,1108.0,OUT018
FDA58,3848.0,OUT017
FDK56,2920.0,OUT046
FDP52,3640.0,OUT045
FDW20,1716.0,OUT018
FDS52,1728.0,OUT049
NCT29,1620.0,OUT018
NCL54,2804.0,OUT013
FDC05,3116.0,OUT045
FDF34,3320.0,OUT035
FDP03,3480.0,OUT027
FDD32,-524.0,OUT010
FDZ10,1984.0,OUT045
FDZ40,1052.0,OUT035
FDD51,452.0,OUT018
NCY30,932.0,OUT019
FDP58,3544.0,OUT017
FDV49,4288.0,OUT017
FDY24,-1012.0,OUT019
NCO55,1808.0,OUT017
FDR13,2032.0,OUT017
FDS51,1140.0,OUT017
FDP26,1608.0,OUT045
NCB54,3488.0,OUT027
FDF32,3236.0,OUT017
FDN31,2716.0,OUT018
DRM48,716.0,OUT017
FDN20,2796.0,OUT049
DRL01,3720.0,OUT046
FDV56,1880.0,OUT049
DRH13,3168.0,OUT027
FDA03,2484.0,OUT017
FDF47,4984.0,OUT027
FDX32,2376.0,OUT046
FDX57,1708.0,OUT049
NCA30,2928.0,OUT045
FDO49,892.0,OUT013
FDL04,-228.0,OUT019
DRM48,772.0,OUT035
FDR16,3420.0,OUT013
NCC19,2740.0,OUT018
NCE42,3648.0,OUT045
